0	0
1	4
2	11
3	23
4	30
5	31
6	32
7	35
8	36
9	37
10	38
11	39
12	40
13	41
14	42
15	43
16	44
17	45
18	46
19	47
20	48
21	49
22	50
23	51
24	52
25	55
26	56
27	57
28	58
29	59
30	60
31	61
32	62
33	63
34	64
35	69
36	71
37	72
38	73
39	75
40	76
41	100
42	101
43	102
44	103
45	104
46	105
47	106
48	107
49	108
50	109
51	112
52	113
53	114
54	115
55	116
56	117
57	118
58	119
59	120
60	121
61	122
62	123
63	124
64	125
65	128
66	129
67	132
68	133
69	134
70	135
71	136
72	137
73	138
74	139
75	140
76	141
77	142
78	143
79	144
80	145
81	146
82	147
83	148
84	149
85	150
86	151
87	152
88	153
89	154
90	155
91	156
92	157
93	160
94	161
95	162
96	163
97	164
98	165
99	166
100	167
101	168
102	169
103	170
104	171
105	172
106	173
107	174
108	175
109	176
110	177
111	178
112	179
113	180
114	181
115	182
116	183
117	184
118	185
119	186
120	187
121	190
122	191
123	192
124	193
125	194
126	195
127	196
128	197
129	198
130	199
131	200
132	201
133	202
134	203
135	204
136	205
137	206
138	207
